,reference,preco,endereco,localizacao,metragem,quartos,garagens,banheiro
956,ref: 449654,R$ 2.280.000,rua das castanhetas,"Jurere Oeste, Florianópolis - SC",77m²,2,1,4
957,ref: 449656,R$ 2.600.000,rua das algas,"Jurere Oeste, Florianópolis - SC",200m²,3,2,6
958,ref: 449658,R$ 2.700.000,avenida dos dourados,"Jurere Oeste, Florianópolis - SC",225m²,3,2,5
959,ref: 449663,R$ 2.500.000,avenida das lagostas,"Jurere Oeste, Florianópolis - SC",120m²,3,1,6
960,ref: 449665,R$ 1.600.000,avenida dos salmões,"Jurere Oeste, Florianópolis - SC",71m²,2,1,3
961,ref: 449666,R$ 1.890.000,avenida das raias,"Jurere Oeste, Florianópolis - SC",116m²,3,1,3
962,ref: 449670,R$ 2.250.000,rua ana luiza vieira,"Lagoa Pequena, Florianópolis - SC",124m²,2,2,5
963,ref: 449682,R$ 680.000,rodovia joão paulo,"João Paulo, Florianópolis - SC",37m²,1,1,1
964,ref: 449683,R$ 1.400.000,rodovia joão paulo,"João Paulo, Florianópolis - SC",91m²,2,2,5
965,ref: 449684,R$ 550.000,rodovia joão paulo,"João Paulo, Florianópolis - SC",37m²,1,1,1
966,ref: 451666,R$ 1.050.000,rodovia admar gonzaga,"Itacorubi, Florianópolis - SC",69m²,2,2,3
967,ref: 455356,R$ 720.000,estrada vereador onildo lemos,"Ingleses, Florianópolis - SC",90m²,2,2,3
968,ref: 455364,R$ 420.000,rua doutor doutor antônio prudente de moraes,"Canasvieiras, Florianópolis - SC",50m²,1,1,1
969,ref: 448982,R$ 3.100.000,estrada haroldo soares glavan,"Cacupé, Florianópolis - SC",352m²,4,3,10
970,ref: 449029,R$ 6.324.000,rua dos polvos,"Jurere Leste, Florianópolis - SC",211m²,4,3,8
971,ref: 449040,R$ 3.465.000,rodovia tertuliano brito xavier,"Jurere Leste, Florianópolis - SC",275m²,3,2,6
972,ref: 453979,R$ 550.000,rua lauro linhares,"Trindade, Florianópolis - SC",74m²,3,1,2
973,ref: 455832,R$ 610.000,rua professor professor clementino de brito,"Capoeiras, Florianópolis - SC",67m²,2,1,3
974,ref: 455839,R$ 550.000,rua nossa senhora da conceição,"Lagoa da Conceição, Florianópolis - SC",46m²,1,1,1
975,ref: 455688,R$ 570.000,rua joaquim josé antunes,"Campeche Central, Florianópolis - SC",37m²,1,1,1
976,ref: 455689,R$ 1.300.000,rodovia joão paulo,"João Paulo, Florianópolis - SC",120m²,3,2,5
977,ref: 455690,R$ 510.000,rua felipe schmidt,"Centro, Florianópolis - SC",61m²,2,1,1
978,ref: 455759,R$ 470.000,avenida engenheiro max de souza,"Coqueiros, Florianópolis - SC",79m²,3,1,1
979,ref: 449508,R$ 1.690.000,rua vereador josé do vale pereira,"Coqueiros, Florianópolis - SC",219m²,3,2,4
980,ref: 449533,R$ 2.497.401,rua barão de batovi,"Centro, Florianópolis - SC",190m²,4,4,5
981,ref: 449543,R$ 1.258.000,rua evangelina tavares moellmann,"Açores, Florianópolis - SC",94m²,3,1,3
982,ref: 449544,R$ 1.723.000,rua evangelina tavares moellmann,"Açores, Florianópolis - SC",120m²,2,2,3
983,ref: 449548,R$ 1.790.000,rua apóstolo paschoal,"Canasvieiras, Florianópolis - SC",126m²,2,2,5
984,ref: 449553,R$ 1.650.000,rua luiz delfino,"Centro, Florianópolis - SC",84m²,2,2,3
985,ref: 449554,R$ 2.200.000,rua germano wendhausen,"Centro, Florianópolis - SC",101m²,3,2,7
986,ref: 449558,R$ 1.650.000,rua almirante lamego,"Centro, Florianópolis - SC",96m²,3,1,4
987,ref: 449563,R$ 2.021.292,travessa felipe godinho e silva,"Agronômica, Florianópolis - SC",102m²,3,2,3
988,ref: 449582,R$ 1.370.500,rua deputado antônio edu vieira,"Pantanal, Florianópolis - SC",140m²,3,2,6
989,ref: 449583,R$ 835.000,rua deputado antônio edu vieira,"Pantanal, Florianópolis - SC",68m²,2,1,3
990,ref: 449596,R$ 550.000,rodovia joão paulo,"João Paulo, Florianópolis - SC",37m²,1,1,1
991,ref: 449597,R$ 850.000,rodovia joão paulo,"João Paulo, Florianópolis - SC",67m²,2,1,2
992,ref: 449599,R$ 850.000,rodovia joão paulo,"João Paulo, Florianópolis - SC",68m²,2,1,3
993,ref: 454063,R$ 900.000,rua delminda silveira,"Agronômica, Florianópolis - SC",78m²,3,1,3
994,ref: 454133,R$ 530.000,rua douglas seabra levier,"Trindade, Florianópolis - SC",69m²,3,1,1
995,ref: 456005,R$ 3.200.000,rua duarte schutel,"Centro, Florianópolis - SC",179m²,3,2,7
996,ref: 456952,R$ 2.300.000,rua marechal câmara,"Estreito, Florianópolis - SC",240m²,4,2,6
997,ref: 453190,R$ 1.100.000,rua rodrigo rampinelli jeremias,"Itacorubi, Florianópolis - SC",70m²,2,2,3
998,ref: 454681,R$ 1.200.000,rua araci vaz callado,"Canto, Florianópolis - SC",114m²,3,3,3
999,ref: 454709,R$ 1.491.433,rua salvatina feliciana dos santos,"Itacorubi, Florianópolis - SC",98m²,3,2,3
1000,ref: 454806,R$ 1.690.000,rua madalena barbi,"Centro, Florianópolis - SC",126m²,4,2,7
1001,ref: 454815,R$ 590.000,rua crispim mira,"Centro, Florianópolis - SC",40m²,1,1,1
1002,ref: 454817,R$ 550.000,rua crispim mira,"Centro, Florianópolis - SC",40m²,1,1,1
1003,ref: 454819,R$ 690.000,rua crispim mira,"Centro, Florianópolis - SC",57m²,1,1,3
1004,ref: 473047,R$ 1.272.000,rua heloisa rojo machado,"Campeche Sul, Florianópolis - SC",84m²,2,1,3
1005,ref: 473065,R$ 1.450.000,avenida campeche,"Lagoa Pequena, Florianópolis - SC",72m²,2,1,3
1006,ref: 471432,R$ 450.000,rua waldemar ouriques,"Capoeiras, Florianópolis - SC",64m²,2,1,3
1007,ref: 471331,R$ 1.250.000,rua sérgio gil,"Balneário, Florianópolis - SC",91m²,3,1,3
1008,ref: 471346,R$ 1.400.000,rua sérgio gil,"Balneário, Florianópolis - SC",92m²,2,1,3
1009,ref: 471800,R$ 1.659.300,rua marechal hermes,"Estreito, Florianópolis - SC",108m²,3,2,6
1010,ref: 470184,R$ 520.000,rua luiz pasteur,"Trindade, Florianópolis - SC",33m²,1,1,1
1011,ref: 475105,R$ 2.690.000,rua almirante lamego,"Centro, Florianópolis - SC",168m²,3,2,5
1012,ref: 467886,R$ 1.590.000,avenida campeche,"Lagoa Pequena, Florianópolis - SC",71m²,2,1,3
1013,ref: 467887,R$ 658.000,rua martinho de haro,"Ingleses, Florianópolis - SC",67m²,2,1,3
1014,ref: 466677,R$ 1.750.000,rodovia tertuliano brito xavier,"Jurere Leste, Florianópolis - SC",117m²,3,1,6
1015,ref: 461827,R$ 520.000,rodovia joão paulo,"João Paulo, Florianópolis - SC",48m²,1,1,3
1016,ref: 466287,R$ 1.020.000,rodovia joão paulo,"João Paulo, Florianópolis - SC",101m²,3,2,3
1017,ref: 466288,R$ 690.000,rodovia joão paulo,"João Paulo, Florianópolis - SC",67m²,2,1,3
1018,ref: 466843,R$ 870.000,rua joão pio duarte silva,"Córrego Grande, Florianópolis - SC",85m²,3,1,3
1019,ref: 466851,R$ 545.000,rua pastor william richard schisler filho,"Itacorubi, Florianópolis - SC",73m²,3,1,1
1020,ref: 449596,R$ 550.000,rodovia joão paulo,"João Paulo, Florianópolis - SC",37m²,1,1,1
1021,ref: 449597,R$ 850.000,rodovia joão paulo,"João Paulo, Florianópolis - SC",67m²,2,1,2
1022,ref: 449599,R$ 850.000,rodovia joão paulo,"João Paulo, Florianópolis - SC",68m²,2,1,3
1023,ref: 454063,R$ 900.000,rua delminda silveira,"Agronômica, Florianópolis - SC",78m²,3,1,3
1024,ref: 454133,R$ 530.000,rua douglas seabra levier,"Trindade, Florianópolis - SC",69m²,3,1,1
1025,ref: 456005,R$ 3.200.000,rua duarte schutel,"Centro, Florianópolis - SC",179m²,3,2,7
1026,ref: 456952,R$ 2.300.000,rua marechal câmara,"Estreito, Florianópolis - SC",240m²,4,2,6
1027,ref: 453190,R$ 1.100.000,rua rodrigo rampinelli jeremias,"Itacorubi, Florianópolis - SC",70m²,2,2,3
1028,ref: 454681,R$ 1.200.000,rua araci vaz callado,"Canto, Florianópolis - SC",114m²,3,3,3
1029,ref: 454709,R$ 1.491.433,rua salvatina feliciana dos santos,"Itacorubi, Florianópolis - SC",98m²,3,2,3
1030,ref: 454806,R$ 1.690.000,rua madalena barbi,"Centro, Florianópolis - SC",126m²,4,2,7
1031,ref: 454815,R$ 590.000,rua crispim mira,"Centro, Florianópolis - SC",40m²,1,1,1
1032,ref: 454817,R$ 550.000,rua crispim mira,"Centro, Florianópolis - SC",40m²,1,1,1
1033,ref: 454819,R$ 690.000,rua crispim mira,"Centro, Florianópolis - SC",57m²,1,1,3
