;reference;preco;endereco;localizacao;metragem;quartos;garagens;banheiro
14526;ref: 191726;R$ 342.000;rua arnaldo ballve;Jardim Itu Sabará, Porto Alegre - RS;82m²;2;1;2
14527;ref: 175906;R$ 210.000;avenida cairu;Navegantes, Porto Alegre - RS;55m²;2;;1
14528;ref: 176043;R$ 690.000;rua castro alves;Independência, Porto Alegre - RS;72m²;2;2;2
14529;ref: 176052;R$ 765.000;avenida diario de noticias;Cristal, Porto Alegre - RS;44m²;1;1;2
14530;ref: 176458;R$ 200.000;avenida getulio vargas;Menino Deus, Porto Alegre - RS;41m²;1;;1
14531;ref: 176755;R$ 220.000;avenida manoel elias;Passo das Pedras, Porto Alegre - RS;49m²;2;1;1
14532;ref: 176838;R$ 699.000;rua landel de moura;Tristeza, Porto Alegre - RS;100m²;2;1;3
14533;ref: 176931;R$ 115.000;rua atilio supertti;Vila Nova, Porto Alegre - RS;36m²;1;1;1
14534;ref: 184814;R$ 192.000;rua tenente ary tarrago;Jardim Itu Sabará, Porto Alegre - RS;53m²;2;1;1
14535;ref: 184862;R$ 199.000;avenida joao pessoa;Cidade Baixa, Porto Alegre - RS;48m²;1;;2
14536;ref: 185004;R$ 180.846;rua dos andradas;Centro Histórico, Porto Alegre - RS;31m²;1;;1
14537;ref: 185009;R$ 626.000;rua dona adda mascarenhas de moraes;Jardim Planalto, Porto Alegre - RS;113m²;3;2;2
14538;ref: 185021;R$ 475.000;avenida protasio alves;Três Figueiras, Porto Alegre - RS;107m²;3;2;1
14539;ref: 185069;R$ 150.000;rua vinte e quatro de maio;Centro Histórico, Porto Alegre - RS;31m²;1;;2
14540;ref: 185201;R$ 265.000;rua doutor jose bento correa;Alto Petrópolis, Porto Alegre - RS;53m²;2;1;2
14541;ref: 185254;R$ 234.000;avenida manoel elias;Passo das Pedras, Porto Alegre - RS;49m²;2;1;1
14542;ref: 185317;R$ 210.000;avenida antonio carvalho;Jardim Carvalho, Porto Alegre - RS;59m²;2;1;1
14543;ref: 185323;R$ 238.000;rua coronel feijo;Higienópolis, Porto Alegre - RS;44m²;1;1;1
14544;ref: 185361;R$ 350.000;avenida joao pessoa;Cidade Baixa, Porto Alegre - RS;101m²;3;;2
14545;ref: 185445;R$ 330.000;rua doutor timoteo;Moinhos de Vento, Porto Alegre - RS;32m²;1;1;2
14546;ref: 185494;R$ 430.000;rua pedro ivo;Bela Vista, Porto Alegre - RS;50m²;1;1;1
14547;ref: 185501;R$ 1.575.000;rua ramiro barcelos;Independência, Porto Alegre - RS;208m²;3;1;3
14548;ref: 190445;R$ 430.000;rua landel de moura;Tristeza, Porto Alegre - RS;77m²;3;1;2
14549;ref: 190478;R$ 220.000;rua professora zilah totta;Protásio Alves, Porto Alegre - RS;49m²;2;;2
14550;ref: 190549;R$ 10.151.230;rua comendador rheingantz;Bela Vista, Porto Alegre - RS;510m²;4;5;5
14551;ref: 190558;R$ 12.366.000;rua comendador rheingantz;Bela Vista, Porto Alegre - RS;510m²;4;5;5
14552;ref: 190733;R$ 255.000;rua duque de caxias;Centro Histórico, Porto Alegre - RS;46m²;1;;1
14553;ref: 190753;R$ 436.000;avenida cristovao colombo;Floresta, Porto Alegre - RS;76m²;2;;1
14554;ref: 190761;R$ 215.000;avenida plinio brasil milano;Higienópolis, Porto Alegre - RS;47m²;1;;1
14555;ref: 190773;R$ 280.000;rua joao zanenga;Cristo Redentor, Porto Alegre - RS;59m²;2;;1
14556;ref: 190836;R$ 320.000;rua ponche verde;Medianeira, Porto Alegre - RS;54m²;1;1;2
