,reference,preco,endereco,localizacao,metragem,quartos,garagens,banheiro
50,ref: 422744,R$ 620.000,rua luiz cosme,"Boa Vista, Porto Alegre - RS",82m²,2.0,1.0,2.0
51,ref: 378598,R$ 99.000,estrada barro vermelho,"Restinga, Porto Alegre - RS",55m²,2.0,1.0,1.0
52,ref: 224453,R$ 538.000,rua valdir antonio lopes,"Tres Figueiras, Porto Alegre - RS",37m²,1.0,1.0,1.0
53,ref: 224738,R$ 215.000,rua primeiro de setembro,"Partenon, Porto Alegre - RS",51m²,2.0,1.0,2.0
54,ref: 299740,R$ 250.000,rua dona augusta,"Menino Deus, Porto Alegre - RS",52m²,1.0,,1.0
55,ref: 255679,R$ 299.900*,avenida jose aloisio filho,"Humaita, Porto Alegre - RS",67m²,3.0,1.0,2.0
56,ref: 355785,R$ 400.000,avenida arnaldo bohrer,"Teresopolis, Porto Alegre - RS",72m²,3.0,1.0,2.0
57,ref: 266240,R$ 520.000,rua irmao norberto francisco rauch,"Jardim Carvalho, Porto Alegre - RS",80m²,3.0,2.0,2.0
58,ref: 277411,R$ 895.000,rua jose do patrocinio,"Cidade Baixa, Porto Alegre - RS",79m²,3.0,2.0,2.0
59,ref: 140025,R$ 260.000,rua demetrio ribeiro,"Centro Historico, Porto Alegre - RS",43m²,1.0,1.0,1.0
60,ref: 126051,R$ 215.000,avenida da azenha,"Azenha, Porto Alegre - RS",61m²,2.0,,2.0
61,ref: 102212,R$ 410.000,rua engenheiro frederico dahne,"Sarandi, Porto Alegre - RS",64m²,2.0,1.0,2.0
62,ref: 441347,R$ 980.000,rua carlos trein filho,"Mont Serrat, Porto Alegre - RS",98m²,2.0,2.0,4.0
63,ref: 408806,R$ 259.800,alameda tres de outubro,"Sarandi, Porto Alegre - RS",42m²,2.0,1.0,1.0
64,ref: 439798,R$ 620.000,rua maestro salvador campanella,"Jardim Planalto, Porto Alegre - RS",108m²,3.0,2.0,2.0
65,ref: 373450,R$ 474.000,rua correa lima,"Santa Tereza, Porto Alegre - RS",103m²,3.0,1.0,2.0
66,ref: 373025,R$ 340.000,rua anita garibaldi,"Boa Vista, Porto Alegre - RS",46m²,1.0,1.0,1.0
67,ref: 329940,R$ 288.000,rua engenheiro fernando de abreu pereira,"Sarandi, Porto Alegre - RS",59m²,2.0,1.0,1.0
68,ref: 194589,R$ 145.000,rua doutor otavio santos,"Jardim Itu Sabara, Porto Alegre - RS",43m²,1.0,1.0,1.0
69,ref: 145216,R$ 395.000,rua ariovaldo pinheiro,"Passo da Areia, Porto Alegre - RS",51m²,1.0,1.0,1.0
70,ref: 421007,R$ 775.000,rua faria santos,"Petropolis, Porto Alegre - RS",100m²,3.0,1.0,3.0
71,ref: 67690,R$ 370.000,rua carlos von koseritz,"Higienopolis, Porto Alegre - RS",91m²,2.0,,2.0
72,ref: 351713,R$ 634.000,rua barao do triunfo,"Menino Deus, Porto Alegre - RS",56m²,2.0,1.0,2.0
73,ref: 107867,R$ 1.390.000,rua general joao telles,"Bom Fim, Porto Alegre - RS",167m²,3.0,2.0,4.0
74,ref: 17222,R$ 265.000,rua fernando machado,"Centro Historico, Porto Alegre - RS",84m²,2.0,,1.0
75,ref: 347943,R$ 499.000,avenida lageado,"Petropolis, Porto Alegre - RS",43m²,1.0,1.0,2.0
76,ref: 455310,R$ 260.000,avenida bento goncalves,"Partenon, Porto Alegre - RS",80m²,2.0,1.0,1.0
77,ref: 397172,R$ 110.000,estrada joao de oliveira remiao,"Lomba do Pinheiro, Porto Alegre - RS",41m²,2.0,1.0,1.0
78,ref: 31272,R$ 388.000,av bento goncalves,"Partenon, Porto Alegre - RS",67m²,3.0,1.0,2.0
79,ref: 462354,R$ 530.000,avenida coronel lucas de oliveira,"Petropolis, Porto Alegre - RS",77m²,2.0,1.0,3.0
80,ref: 393331,R$ 529.000,rua palestina,"Petropolis, Porto Alegre - RS",103m²,2.0,1.0,2.0
81,ref: 390687,R$ 529.000,rua guilherme alves,"Petropolis, Porto Alegre - RS",72m²,2.0,1.0,1.0
