,reference,preco,endereco,localizacao,metragem,quartos,garagens,banheiro
181,ref: 417669,R$ 1.800.000,avenida dos buzios,"Jurere Internacional, FLORIANOPOLIS - SC",194m²,3,2.0,4.0
182,ref: 417671,R$ 2.092.924,estrada haroldo soares glavan,"Cacupe, FLORIANOPOLIS - SC",117m²,2,2.0,3.0
183,ref: 417673,R$ 2.306.880,estrada haroldo soares glavan,"Cacupe, FLORIANOPOLIS - SC",129m²,2,2.0,3.0
184,ref: 417676,R$ 3.210.052,estrada haroldo soares glavan,"Cacupe, FLORIANOPOLIS - SC",172m²,3,2.0,4.0
185,ref: 417677,R$ 3.969.756,estrada haroldo soares glavan,"Cacupe, FLORIANOPOLIS - SC",231m²,4,3.0,5.0
186,ref: 417678,R$ 3.972.070,estrada haroldo soares glavan,"Cacupe, FLORIANOPOLIS - SC",231m²,4,3.0,5.0
187,ref: 417326,R$ 790.000,rodovia amaro antonio vieira,"Itacorubi, FLORIANOPOLIS - SC",57m²,2,1.0,3.0
188,ref: 413653,R$ 780.000,rodovia joao paulo,"Joao Paulo, FLORIANOPOLIS - SC",64m²,2,1.0,3.0
189,ref: 340690,R$ 1.299.500,rodovia admar gonzaga,"Itacorubi, FLORIANOPOLIS - SC",96m²,3,2.0,3.0
190,ref: 340691,R$ 924.000,rodovia admar gonzaga,"Itacorubi, FLORIANOPOLIS - SC",65m²,2,1.0,3.0
191,ref: 356773,R$ 5.330.300,avenida dos buzios,"Jurere Internacional, FLORIANOPOLIS - SC",287m²,3,,7.0
192,ref: 362881,R$ 950.000,rua jeronimo venancio das chagas,"Campeche, FLORIANOPOLIS - SC",48m²,1,,2.0
193,ref: 371073,R$ 1.279.000,rua frei caneca,"Beiramar, FLORIANOPOLIS - SC",112m²,3,1.0,3.0
194,ref: 361027,R$ 978.000,rodovia admar gonzaga,"Itacorubi, FLORIANOPOLIS - SC",76m²,2,1.0,3.0
195,ref: 361029,R$ 950.000,rodovia admar gonzaga,"Itacorubi, FLORIANOPOLIS - SC",76m²,2,2.0,3.0
196,ref: 361030,R$ 909.500,rodovia admar gonzaga,"Itacorubi, FLORIANOPOLIS - SC",76m²,2,1.0,3.0
197,ref: 361039,R$ 950.000,rodovia admar gonzaga,"Itacorubi, FLORIANOPOLIS - SC",77m²,2,1.0,5.0
198,ref: 361040,R$ 950.000,rodovia admar gonzaga,"Itacorubi, FLORIANOPOLIS - SC",77m²,2,2.0,5.0
199,ref: 361101,R$ 924.000,rodovia admar gonzaga,"Itacorubi, FLORIANOPOLIS - SC",76m²,2,1.0,3.0
200,ref: 361105,R$ 1.349.500,rodovia admar gonzaga,"Itacorubi, FLORIANOPOLIS - SC",96m²,3,3.0,4.0
201,ref: 345965,R$ 870.000,rodovia amaro antonio vieira,"Itacorubi, FLORIANOPOLIS - SC",75m²,3,1.0,3.0
202,ref: 353980,R$ 2.500.000,rua graciliano ramos,"Agronomica, FLORIANOPOLIS - SC",233m²,4,3.0,5.0
203,ref: 365371,R$ 3.200.000,rua santo inacio de loyola,"Centro, FLORIANOPOLIS - SC",224m²,3,3.0,5.0
204,ref: 359339,R$ 1.663.261,rua trajano margarida,"Trindade, FLORIANOPOLIS - SC",91m²,3,2.0,3.0
205,ref: 359356,R$ 1.354.090,rua trajano margarida,"Trindade, FLORIANOPOLIS - SC",73m²,2,2.0,3.0
206,ref: 361141,R$ 978.000,rodovia admar gonzaga,"Itacorubi, FLORIANOPOLIS - SC",76m²,2,1.0,3.0
207,ref: 373843,R$ 1.599.000,rua idalina pereira dos santos,"Agronomica, FLORIANOPOLIS - SC",113m²,3,3.0,4.0
208,ref: 340654,R$ 730.000,travessa do carnavalesco,"Pantanal, FLORIANOPOLIS - SC",70m²,2,2.0,2.0
209,ref: 340678,R$ 1.299.500,rodovia admar gonzaga,"Itacorubi, FLORIANOPOLIS - SC",96m²,3,2.0,4.0
210,ref: 340679,R$ 1.299.500,rodovia admar gonzaga,"Itacorubi, FLORIANOPOLIS - SC",96m²,3,2.0,4.0
211,ref: 433880,R$ 1.254.222,rua doutor joao de oliveira,"Canasvieiras, Florianopolis - SC",91m²,3,2.0,4.0
212,ref: 446029,R$ 740.000,rodovia amaro antonio vieira,"Itacorubi, Florianopolis - SC",69m²,2,1.0,3.0
213,ref: 442277,R$ 806.187,rua joaquim nabuco,"Capoeiras, Florianopolis - SC",97m²,3,2.0,6.0
214,ref: 390545,R$ 790.000,rua professor milton sullivan,"Carvoeira, FLORIANOPOLIS - SC",106m²,2,1.0,3.0
215,ref: 390091,R$ 2.200.000,avenida dos dourados,"Jurere Internacional, FLORIANOPOLIS - SC",159m²,4,2.0,9.0
216,ref: 393514,R$ 795.000*,rua salvatina feliciana dos santos,"Itacorubi, FLORIANOPOLIS - SC",77m²,2,1.0,2.0
217,ref: 393652,R$ 1.269.000,servidao do palmeiras,"Itacorubi, FLORIANOPOLIS - SC",104m²,3,2.0,3.0
218,ref: 415216,R$ 1.400.000,rua aristides lobo,"Beira Mar Norte, FLORIANOPOLIS - SC",83m²,3,2.0,3.0
219,ref: 377603,R$ 689.000,rua lauro linhares,"Trindade, FLORIANOPOLIS - SC",101m²,3,1.0,3.0
220,ref: 472064,R$ 2.000.000,rua felipe schmidt,"Centro, Florianopolis - SC",73m²,2,,3.0
221,ref: 472085,R$ 2.000.000,rua felipe schmidt,"Centro, Florianopolis - SC",73m²,2,,3.0
222,ref: 471060,R$ 400.000,rua servidao dona floriana,"Estreito, Florianopolis - SC",61m²,2,1.0,1.0
223,ref: 468393,R$ 590.000,rua timbauba do ribeirao,"Ribeirao da Ilha, Florianopolis - SC",58m²,1,1.0,2.0
224,ref: 468395,R$ 977.066,rua getulio zomer,"Canasvieiras, Florianopolis - SC",82m²,2,,2.0
225,ref: 468396,R$ 575.000,rua timbauba do ribeirao,"Ribeirao da Ilha, Florianopolis - SC",58m²,1,1.0,2.0
226,ref: 468397,R$ 1.040.166,rua getulio zomer,"Canasvieiras, Florianopolis - SC",82m²,2,,2.0
227,ref: 468401,R$ 1.040.166,rua getulio zomer,"Canasvieiras, Florianopolis - SC",82m²,2,,2.0
228,ref: 470426,R$ 1.610.565,rua julio vieira,"Joao Paulo, Florianopolis - SC",106m²,2,,1.0
229,ref: 470434,R$ 1.471.531,rua julio vieira,"Joao Paulo, Florianopolis - SC",96m²,2,,3.0
